t,x,y,z,Kitchen_AP,Lounge_AP,Upstairs_AP
0.010856,0.96,-0.152,-0.08,-84.0,-79.0,-81.0
0.060904,0.96,-0.148,-0.08,-84.0,-79.0,-81.0
0.110952,0.966,-0.16,-0.072,-84.0,-79.0,-81.0
0.161,0.956,-0.154,-0.074,-84.0,-79.0,-81.0
0.210856,0.958,-0.176,-0.084,-85.0,-80.0,-81.0
0.260904,0.962,-0.166,-0.074,-85.0,-80.0,-81.0
0.310952,0.93,-0.158,-0.066,-85.0,-80.0,-81.0
0.361,0.96,-0.144,-0.08,-85.0,-80.0,-81.0
0.410856,0.974,-0.16,-0.058,-84.0,-79.0,-82.0
0.460904,0.962,-0.154,-0.068,-84.0,-79.0,-82.0
0.510952,0.958,-0.154,-0.056,-84.0,-79.0,-82.0
0.561,0.946,-0.146,-0.08,-84.0,-79.0,-82.0
0.610856,0.928,-0.16,-0.082,-85.0,,-82.0
0.660904,0.952,-0.164,-0.074,-85.0,,-82.0
0.710952,0.96,-0.162,-0.072,-85.0,,-82.0
0.761,0.956,-0.154,-0.064,-85.0,,-82.0
0.810856,0.96,-0.16,-0.074,-85.0,,-87.0
0.860904,0.96,-0.158,-0.082,-85.0,,-87.0
0.910952,0.958,-0.16,-0.078,-85.0,,-87.0
0.961,0.96,-0.152,-0.088,-85.0,,-87.0
1.011856,0.958,-0.156,-0.066,,-79.0,-82.0
1.061904,0.966,-0.148,-0.084,,-79.0,-82.0
1.111952,0.962,-0.154,-0.062,,-79.0,-82.0
1.162,0.958,-0.156,-0.08,,-79.0,-82.0
1.211856,0.96,-0.152,-0.068,-83.0,-80.0,-82.0
1.261904,0.952,-0.162,-0.072,-83.0,-80.0,-82.0
1.311952,0.972,-0.168,-0.068,-83.0,-80.0,-82.0
1.362,0.958,-0.16,-0.064,-83.0,-80.0,-82.0
1.411856,0.952,-0.16,-0.082,-84.0,-79.0,-82.0
1.461904,0.966,-0.154,-0.074,-84.0,-79.0,-82.0
1.511952,0.95,-0.152,-0.072,-84.0,-79.0,-82.0
1.562,0.972,-0.152,-0.072,-84.0,-79.0,-82.0
1.611856,0.962,-0.16,-0.064,-84.0,-79.0,-82.0
1.661904,0.968,-0.152,-0.058,-84.0,-79.0,-82.0
1.711952,0.952,-0.154,-0.074,-84.0,-79.0,-82.0
1.762,0.952,-0.152,-0.08,-84.0,-79.0,-82.0
1.811856,0.952,-0.154,-0.078,,-99.0,-82.0
1.861904,0.96,-0.16,-0.08,,-99.0,-82.0
1.911952,0.946,-0.154,-0.072,,-99.0,-82.0
1.962,0.96,-0.16,-0.08,,-99.0,-82.0
2.012856,0.934,-0.174,-0.074,-85.0,-79.0,-83.0
2.062904,0.956,-0.16,-0.072,-85.0,-79.0,-83.0
2.112952,0.972,-0.174,-0.066,-85.0,-79.0,-83.0
2.163,0.966,-0.178,-0.064,-85.0,-79.0,-83.0
2.212856,0.942,-0.174,-0.064,-101.0,-80.0,-82.0
2.262904,0.96,-0.162,-0.064,-101.0,-80.0,-82.0
2.312952,0.96,-0.194,-0.08,-101.0,-80.0,-82.0
2.363,0.96,-0.19,-0.08,-101.0,-80.0,-82.0
2.412856,0.96,-0.18,-0.076,-85.0,-84.0,-80.0
2.462904,0.966,-0.192,-0.072,-85.0,-84.0,-80.0
2.512952,0.966,-0.18,-0.072,-85.0,-84.0,-80.0
2.563,0.974,-0.184,-0.068,-85.0,-84.0,-80.0
2.612856,0.966,-0.178,-0.08,-85.0,-86.0,-83.0
2.662904,0.958,-0.162,-0.074,-85.0,-86.0,-83.0
2.712952,0.958,-0.132,-0.09,-85.0,-86.0,-83.0
2.763,0.962,-0.144,-0.084,-85.0,-86.0,-83.0
2.812856,0.972,-0.114,-0.066,-86.0,-83.0,-88.0
2.862904,0.974,-0.116,-0.078,-86.0,-83.0,-88.0
2.912952,0.966,-0.11,-0.056,-86.0,-83.0,-88.0
2.963,0.99,-0.104,-0.032,-86.0,-83.0,-88.0
3.012856,0.974,-0.104,-0.026,-85.0,-84.0,-80.0
3.062904,0.992,-0.114,-0.018,-85.0,-84.0,-80.0
3.112952,0.998,-0.136,-0.008,-85.0,-84.0,-80.0
3.163,0.99,-0.154,-0.004,-85.0,-84.0,-80.0
3.213856,0.974,-0.19,-0.002,-86.0,-82.0,-81.0
3.263904,0.968,-0.178,0.006,-86.0,-82.0,-81.0
3.313952,0.968,-0.194,0.012,-86.0,-82.0,-81.0
3.364,0.956,-0.186,0.03,-86.0,-82.0,-81.0
3.413856,0.944,-0.196,0.028,-88.0,-83.0,-81.0
3.463904,0.934,-0.194,0.03,-88.0,-83.0,-81.0
3.513952,0.936,-0.186,0.03,-88.0,-83.0,-81.0
3.564,0.944,-0.178,0.016,-88.0,-83.0,-81.0
3.613856,0.946,-0.178,0.028,-88.0,-79.0,-82.0
3.663904,0.974,-0.162,0.024,-88.0,-79.0,-82.0
3.713952,0.998,-0.154,0.022,-88.0,-79.0,-82.0
3.764,0.97,-0.12,0.024,-88.0,-79.0,-82.0
3.813856,0.928,-0.112,0.014,-88.0,-87.0,-81.0
3.863904,0.952,-0.13,0.028,-88.0,-87.0,-81.0
3.913952,0.972,-0.128,0.024,-88.0,-87.0,-81.0
3.964,0.96,-0.164,-0.032,-88.0,-87.0,-81.0
4.013856,0.956,-0.178,-0.026,-93.0,-84.0,-83.0
4.063904,0.96,-0.16,-0.084,-93.0,-84.0,-83.0
4.113952,0.962,-0.172,-0.09,-93.0,-84.0,-83.0
4.164,0.968,-0.186,-0.098,-93.0,-84.0,-83.0
4.214856,0.956,-0.186,-0.11,,-95.0,-79.0
4.264904,0.952,-0.196,-0.128,,-95.0,-79.0
4.314952,0.966,-0.194,-0.16,,-95.0,-79.0
4.365,0.94,-0.202,-0.168,,-95.0,-79.0
4.414856,0.96,-0.208,-0.2,-98.0,-90.0,-81.0
4.464904,0.942,-0.208,-0.208,-98.0,-90.0,-81.0
4.514952,0.958,-0.2,-0.206,-98.0,-90.0,-81.0
4.565,0.968,-0.176,-0.206,-98.0,-90.0,-81.0
4.614856,0.968,-0.154,-0.194,,-89.0,-80.0
4.664904,0.944,-0.146,-0.178,,-89.0,-80.0
4.714952,0.948,-0.144,-0.144,,-89.0,-80.0
4.765,0.956,-0.11,-0.114,,-89.0,-80.0
4.814856,0.928,-0.122,-0.116,-104.0,-84.0,-78.0
4.864904,0.966,-0.14,-0.12,-104.0,-84.0,-78.0
4.914952,0.934,-0.164,-0.12,-104.0,-84.0,-78.0
4.965,0.934,-0.2,-0.096,-104.0,-84.0,-78.0
5.014856,0.944,-0.19,-0.096,-92.0,-94.0,-82.0
5.064904,0.956,-0.168,-0.09,-92.0,-94.0,-82.0
5.114952,0.992,-0.176,-0.084,-92.0,-94.0,-82.0
5.165,0.972,-0.168,-0.048,-92.0,-94.0,-82.0
5.215856,0.926,-0.096,0.014,-85.0,-94.0,-81.0
