name,index,start,end
a_walk,4,74.07,75.13
t_turn,19,75.18,80.05
a_walk,4,80.095,82.725
p_stand,10,82.76,89.22
a_jump,2,89.27,91.52
p_stand,10,91.575,98.365
t_turn,19,98.42,99.53
a_walk,4,99.605,101.555
t_turn,19,101.605,102.855
a_walk,4,102.9,104.77
p_stand,10,104.835,110.045
a_walk,4,110.1,111.76
p_stand,10,111.8,121.14
t_turn,19,121.2,123.22
a_walk,4,123.24,126.52
p_stand,10,126.57,129.8
t_turn,19,129.845,132.605
p_stand,10,132.65,140.85
t_bend,11,140.9,141.78
p_bent,5,141.82,147.12
t_straighten,18,147.17,148.1
p_stand,10,148.135,154.315
t_stand_kneel,16,154.385,157.195
p_kneel,6,157.23,163.45
t_kneel_stand,12,163.49,165.11
p_stand,10,165.14,167.89
t_turn,19,167.935,168.785
p_stand,10,168.82,169.41
t_stand_sit,17,169.445,171.585
p_sit,8,171.635,177.055
t_sit_lie,14,177.095,179.705
p_lie,7,179.73,187.45
t_turn,19,187.49,191.5
p_lie,7,191.53,218.08
t_turn,19,218.15,220.37
p_lie,7,220.41,231.18
t_lie_sit,13,231.225,233.925
p_sit,8,233.96,243.45
t_sit_stand,15,243.505,245.765
p_stand,10,245.81,255.95
t_bend,11,256.0,257.28
p_bent,5,257.33,260.89
t_straighten,18,260.93,261.84
p_stand,10,261.895,269.325
t_stand_kneel,16,269.36,271.63
p_kneel,6,271.67,279.04
t_kneel_stand,12,279.065,280.275
p_stand,10,280.31,288.55
t_stand_sit,17,288.58,291.7
p_sit,8,291.74,298.52
t_sit_lie,14,298.55,301.11
p_lie,7,301.14,308.12
t_turn,19,308.17,311.39
p_lie,7,311.42,318.99
t_turn,19,319.045,321.805
p_lie,7,321.84,329.75
t_lie_sit,13,329.785,332.985
p_sit,8,333.045,339.205
t_sit_stand,15,339.255,340.595
p_stand,10,340.645,350.16
t_bend,11,350.19,351.07
p_bent,5,351.11,354.8
t_straighten,18,354.845,355.835
p_stand,10,355.88,364.275
t_stand_kneel,16,364.33,366.07
p_kneel,6,366.12,371.68
t_kneel_stand,12,371.72,373.08
p_stand,10,373.15,379.05
t_stand_sit,17,379.1,381.55
p_sit,8,381.595,386.385
t_sit_lie,14,386.41,389.03
p_lie,7,389.06,394.15
t_turn,19,394.205,398.205
p_lie,7,398.255,404.215
t_turn,19,404.245,406.735
p_lie,7,406.75,415.09
t_lie_sit,13,415.13,417.75
p_sit,8,417.78,423.95
t_sit_stand,15,423.995,425.595
p_stand,10,425.655,435.005
t_bend,11,435.005,436.045
p_bent,5,436.085,439.995
t_straighten,18,440.03,441.09
p_stand,10,441.15,445.7
t_stand_kneel,16,445.745,448.515
p_kneel,6,448.55,452.61
t_kneel_stand,12,452.66,454.84
p_stand,10,454.89,459.82
t_stand_sit,17,459.885,463.205
p_sit,8,463.245,469.945
t_sit_lie,14,469.995,473.315
p_lie,7,473.355,478.825
t_turn,19,478.86,480.58
p_lie,7,480.63,487.74
t_turn,19,487.77,489.66
p_lie,7,489.715,496.505
t_lie_sit,13,496.55,499.56
p_sit,8,499.605,502.155
t_sit_stand,15,502.16,503.23
p_stand,10,503.26,511.97
t_bend,11,512.025,513.135
p_bent,5,513.18,520.8
t_straighten,18,520.85,522.07
p_stand,10,522.1,531.37
t_stand_kneel,16,531.41,533.68
p_kneel,6,533.74,538.75
t_kneel_stand,12,538.805,540.495
p_stand,10,540.55,543.97
t_stand_sit,17,544.0,546.89
p_sit,8,546.945,552.925
t_sit_lie,14,552.975,556.235
p_lie,7,556.295,559.75
t_turn,19,559.75,561.61
p_lie,7,561.62,567.82
t_turn,19,567.85,570.13
p_lie,7,570.16,577.49
t_lie_sit,13,577.535,580.465
p_sit,8,580.5,584.22
t_sit_stand,15,584.25,585.53
p_stand,10,585.56,595.12
t_bend,11,595.14,596.24
p_bent,5,596.28,599.84
t_straighten,18,599.89,600.86
p_stand,10,600.895,605.015
t_stand_kneel,16,605.065,607.385
p_kneel,6,607.415,615.39
t_kneel_stand,12,615.435,616.825
p_stand,10,616.86,618.83
t_turn,19,618.86,619.97
p_stand,10,620.005,621.215
t_stand_sit,17,621.26,623.23
p_sit,8,623.27,629.72
t_sit_lie,14,629.775,632.355
p_lie,7,632.415,637.215
t_turn,19,637.265,638.875
p_lie,7,638.92,643.91
t_turn,19,643.945,645.925
p_lie,7,645.965,652.485
t_lie_sit,13,652.555,655.865
p_sit,8,655.9,660.58
t_sit_stand,15,660.62,662.05
p_stand,10,662.09,676.44
t_turn,19,676.47,677.87
p_stand,10,677.87,680.56
t_turn,19,680.595,681.555
p_stand,10,681.585,687.525
t_turn,19,687.565,689.055
a_walk,4,689.09,691.88
p_stand,10,691.895,694.445
a_walk,4,694.475,695.185
t_turn,19,695.23,696.37
p_stand,10,696.42,699.0
a_walk,4,699.05,702.425
a_descend,1,702.45,705.35
a_walk,4,705.38,707.7
p_stand,10,707.76,709.01
t_turn,19,709.01,710.26
p_stand,10,710.295,711.305
a_walk,4,711.35,712.42
t_bend,11,712.455,713.335
p_bent,5,713.385,714.685
t_straighten,18,714.755,715.515
t_turn,19,715.565,717.635
a_walk,4,717.675,718.465
p_stand,10,718.51,722.38
t_turn,19,722.415,724.685
a_walk,4,724.72,726.36
p_stand,10,726.4,727.95
t_bend,11,727.995,728.955
p_bent,5,728.995,730.155
t_straighten,18,730.215,730.975
