name,index,start,end
hall,3,66.04,74.595
living,5,74.64,701.2539999999999
kitchen,4,701.2669999999999,1052.032
hall,3,1052.057,1059.299
living,5,1059.307,1323.521
hall,3,1323.555,1328.254
kitchen,4,1328.277,1415.287
stairs,6,1415.321,1430.882
bed2,2,1430.908,1781.971
stairs,6,1781.999,1786.21
toilet,8,1786.246,1854.889
stairs,6,1854.917,1863.806
bed1,1,1863.843,1896.174
stairs,6,1896.191,1907.393
bath,0,1907.43,2071.551
stairs,6,2071.619,2080.568
living,5,2080.619,2154.811
hall,3,2154.853,2160.0
