start,end,name,index
3.37,19.281,study,7
29.278,32.649,study,7
49.082,49.577,stairs,6
40.781,50.755,study,7
53.431,59.282,kitchen,4
60.776,63.12,kitchen,4
79.279,80.793,living,5
92.595,93.374,bed1,1
110.789,120.777,living,5
123.371,139.281,living,5
149.282,153.071,living,5
159.28,163.857,living,5
173.849,183.85,living,5
239.279,240.41,living,5
249.281,252.597,living,5
263.072,279.28,living,5
279.844,299.28,living,5
342.595,356.373,living,5
362.599,372.597,living,5
380.835,386.374,living,5
442.615,446.373,living,5
453.886,469.278,living,5
502.594,503.046,bed1,1
500.491,503.123,living,5
522.594,539.281,living,5
586.378,596.386,living,5
602.596,612.596,living,5
616.376,629.278,living,5
663.07,679.279,living,5
683.071,686.37,living,5
695.636,696.374,living,5
706.374,733.852,kitchen,4
737.575,746.378,kitchen,4
749.321,752.646,kitchen,4
767.585,786.412,kitchen,4
809.755,816.387,kitchen,4
822.655,826.385,kitchen,4
839.737,862.696,kitchen,4
869.281,877.576,kitchen,4
883.85,893.994,kitchen,4
903.848,913.856,kitchen,4
917.577,922.657,kitchen,4
927.578,930.908,kitchen,4
936.378,943.995,kitchen,4
947.588,969.281,kitchen,4
972.664,973.849,kitchen,4
1006.374,1009.279,kitchen,4
1019.33,1029.278,kitchen,4
1039.278,1040.41,bed1,1
1046.375,1056.376,kitchen,4
1066.376,1070.442,living,5
1091.396,1093.064,kitchen,4
1113.076,1123.063,kitchen,4
1131.36,1133.062,kitchen,4
1161.361,1163.124,kitchen,4
1171.367,1173.064,kitchen,4
1183.035,1183.117,kitchen,4
1191.36,1193.064,kitchen,4
1201.397,1203.063,kitchen,4
1211.443,1213.064,kitchen,4
1221.359,1223.062,kitchen,4
1233.054,1233.127,kitchen,4
1241.368,1243.064,kitchen,4
1253.055,1253.137,kitchen,4
1263.06,1263.135,kitchen,4
1271.359,1273.133,kitchen,4
1293.063,1293.851,kitchen,4
1303.061,1303.149,kitchen,4
1313.05,1313.126,kitchen,4
1323.058,1323.133,kitchen,4
1311.358,1329.28,living,5
1331.358,1333.068,kitchen,4
1336.576,1349.286,kitchen,4
1356.575,1359.297,kitchen,4
1361.36,1363.064,kitchen,4
1371.408,1373.848,kitchen,4
1380.416,1393.847,kitchen,4
1410.842,1416.578,kitchen,4
1421.358,1423.061,kitchen,4
1426.592,1429.656,stairs,6
1431.464,1433.075,kitchen,4
1443.855,1453.862,bed2,2
1459.662,1466.576,bed2,2
1463.863,1473.863,kitchen,4
1481.278,1482.596,kitchen,4
1481.375,1483.854,bed2,2
1488.282,1490.843,bed2,2
1491.424,1493.85,kitchen,4
1503.062,1503.851,kitchen,4
1511.409,1513.845,kitchen,4
1523.054,1523.848,kitchen,4
1526.576,1529.654,bed2,2
1532.608,1538.281,bed2,2
