t,centre_2d_x,centre_2d_y,bb_2d_br_x,bb_2d_br_y,bb_2d_tl_x,bb_2d_tl_y,centre_3d_x,centre_3d_y,centre_3d_z,bb_3d_brb_x,bb_3d_brb_y,bb_3d_brb_z,bb_3d_flt_x,bb_3d_flt_y,bb_3d_flt_z
45.462,210.389266968,141.663528442,213.0,235.0,190.0,114.0,528.328125,-227.140625,2990.0,561.277038574,-1217.86535645,3020.0,311.391998291,62.2784118652,2960.0
45.525,204.699371338,155.471038818,213.0,235.0,182.0,112.0,477.9375,-379.265625,3049.125,572.265563965,-1241.70861816,3079.125,232.915512085,84.6965179443,3019.125
45.556,204.144180298,155.889663696,213.0,235.0,180.0,112.0,471.122467041,-383.02722168,3043.44750977,571.210388184,-1239.41894531,3073.44750977,211.34312439,84.5372390747,3013.44750977
45.587,202.110351562,158.376586914,213.0,235.0,176.0,112.0,450.783874512,-410.814483643,3052.70605469,572.931152344,-1243.15258789,3082.70605469,169.594009399,84.7969741821,3022.70605469
45.618,201.026306152,159.178359985,213.0,235.0,174.0,112.0,439.207824707,-419.424621582,3052.90429688,572.967956543,-1243.23266602,3082.90429688,148.404418945,84.8025360107,3022.90429688
45.65,198.699127197,159.252838135,213.0,235.0,170.0,112.0,414.245178223,-420.172180176,3052.54223633,572.900695801,-1243.08654785,3082.54223633,105.990486145,84.7923812866,3022.54223633
45.681,196.475982666,159.025680542,213.0,235.0,168.0,112.0,388.991088867,-416.18182373,3041.15185547,570.783752441,-1238.49316406,3071.15185547,84.4727706909,84.4728393555,3011.15185547
45.712,193.541412354,158.900100708,213.0,235.0,164.0,112.0,357.011993408,-414.049407959,3035.33789062,569.703186035,-1236.14855957,3065.33789062,42.1548347473,84.3097381592,3005.33789062
45.743,190.556182861,159.674560547,213.0,235.0,160.0,114.0,324.128082275,-420.852264404,3024.98388672,567.778869629,-1231.9732666,3054.98388672,0.0,63.0144805908,2994.98388672
45.79,187.059692383,161.220870972,209.0,235.0,158.0,116.0,284.643371582,-433.606018066,2999.74072266,520.590209961,-1221.7935791,3029.74072266,-20.8277626038,41.6555976868,2969.74072266
