t,kitchen,living,study,stairs
0.010856,-84.0,-79.0,,-81.0
0.060904,-84.0,-79.0,,-81.0
0.110952,-84.0,-79.0,,-81.0
0.161,-84.0,-79.0,,-81.0
0.210856,-85.0,-80.0,,-81.0
0.2609039999999999,-85.0,-80.0,,-81.0
0.310952,-85.0,-80.0,,-81.0
0.361,-85.0,-80.0,,-81.0
0.410856,-84.0,-79.0,,-82.0
0.460904,-84.0,-79.0,,-82.0
0.5109520000000001,-84.0,-79.0,,-82.0
0.561,-84.0,-79.0,,-82.0
0.6108560000000001,-85.0,,,-82.0
0.660904,-85.0,,,-82.0
0.710952,-85.0,,,-82.0
0.7609999999999999,-85.0,,,-82.0
0.810856,-85.0,,,-87.0
0.8609040000000001,-85.0,,,-87.0
0.910952,-85.0,,,-87.0
0.961,-85.0,,,-87.0
1.011856,,-79.0,,-82.0
1.0619040000000002,,-79.0,,-82.0
1.111952,,-79.0,,-82.0
1.162,,-79.0,,-82.0
1.211856,-83.0,-80.0,,-82.0
1.261904,-83.0,-80.0,,-82.0
1.311952,-83.0,-80.0,,-82.0
1.362,-83.0,-80.0,,-82.0
1.411856,-84.0,-79.0,,-82.0
1.461904,-84.0,-79.0,,-82.0
1.511952,-84.0,-79.0,,-82.0
1.5619999999999998,-84.0,-79.0,,-82.0
1.611856,-84.0,-79.0,,-82.0
1.661904,-84.0,-79.0,,-82.0
1.711952,-84.0,-79.0,,-82.0
1.7619999999999998,-84.0,-79.0,,-82.0
1.811856,,-99.0,,-82.0
1.861904,,-99.0,,-82.0
1.911952,,-99.0,,-82.0
1.962,,-99.0,,-82.0
2.012856,-85.0,-79.0,,-83.0
2.062904,-85.0,-79.0,,-83.0
2.112952,-85.0,-79.0,,-83.0
2.1630000000000003,-85.0,-79.0,,-83.0
2.212856,-101.0,-80.0,,-82.0
2.262904,-101.0,-80.0,,-82.0
2.312952,-101.0,-80.0,,-82.0
2.363,-101.0,-80.0,,-82.0
2.412856,-85.0,-84.0,,-80.0
2.462904,-85.0,-84.0,,-80.0
2.512952,-85.0,-84.0,,-80.0
2.563,-85.0,-84.0,,-80.0
2.6128560000000003,-85.0,-86.0,,-83.0
2.662904,-85.0,-86.0,,-83.0
2.712952,-85.0,-86.0,,-83.0
2.763,-85.0,-86.0,,-83.0
2.812856,-86.0,-83.0,,-88.0
2.862904,-86.0,-83.0,,-88.0
2.912952,-86.0,-83.0,,-88.0
2.963,-86.0,-83.0,,-88.0
3.012856,-85.0,-84.0,,-80.0
3.062904,-85.0,-84.0,,-80.0
3.112952,-85.0,-84.0,,-80.0
3.1630000000000003,-85.0,-84.0,,-80.0
3.2138560000000003,-86.0,-82.0,,-81.0
3.263904,-86.0,-82.0,,-81.0
3.313952,-86.0,-82.0,,-81.0
3.364,-86.0,-82.0,,-81.0
3.413856,-88.0,-83.0,,-81.0
3.463904,-88.0,-83.0,,-81.0
3.513952,-88.0,-83.0,,-81.0
3.564,-88.0,-83.0,,-81.0
3.613856,-88.0,-79.0,,-82.0
3.663904,-88.0,-79.0,,-82.0
3.713952,-88.0,-79.0,,-82.0
3.764,-88.0,-79.0,,-82.0
3.813856,-88.0,-87.0,,-81.0
3.863904,-88.0,-87.0,,-81.0
3.913952,-88.0,-87.0,,-81.0
3.964,-88.0,-87.0,,-81.0
4.013856,-93.0,-84.0,,-83.0
4.063904,-93.0,-84.0,,-83.0
4.113951999999999,-93.0,-84.0,,-83.0
4.164,-93.0,-84.0,,-83.0
4.214856,,-95.0,,-79.0
4.2649040000000005,,-95.0,,-79.0
4.314952,,-95.0,,-79.0
4.365,,-95.0,,-79.0
4.414856,-98.0,-90.0,,-81.0
4.464904,-98.0,-90.0,,-81.0
4.514952,-98.0,-90.0,,-81.0
4.565,-98.0,-90.0,,-81.0
4.614856,,-89.0,,-80.0
4.664904,,-89.0,,-80.0
4.714951999999999,,-89.0,,-80.0
4.765,,-89.0,,-80.0
4.814856,-104.0,-84.0,,-78.0
4.864904,-104.0,-84.0,,-78.0
4.914952,-104.0,-84.0,,-78.0
4.965,-104.0,-84.0,,-78.0
5.014856,-92.0,-94.0,,-82.0
5.064904,-92.0,-94.0,,-82.0
5.114952,-92.0,-94.0,,-82.0
5.165,-92.0,-94.0,,-82.0
5.215856,-85.0,-94.0,,-81.0
5.265904,-85.0,-94.0,,-81.0
5.315951999999999,-85.0,-94.0,,-81.0
5.3660000000000005,-85.0,-94.0,,-81.0
5.415856,-84.0,-86.0,,-79.0
5.465904,-84.0,-86.0,,-79.0
5.515952,-84.0,-86.0,,-79.0
5.566,-84.0,-86.0,,-79.0
5.615856,-97.0,-84.0,,-79.0
5.665904,-97.0,-84.0,,-79.0
5.715952,-97.0,-84.0,,-79.0
5.766,-97.0,-84.0,,-79.0
5.815856,-84.0,-83.0,,-81.0
5.8659040000000005,-84.0,-83.0,,-81.0
5.915952,-84.0,-83.0,,-81.0
5.966,-84.0,-83.0,,-81.0
6.015855999999999,-83.0,-89.0,,-80.0
6.065904,-83.0,-89.0,,-80.0
6.115952,-83.0,-89.0,,-80.0
6.166,-83.0,-89.0,,-80.0
6.216856,-83.0,-87.0,,-79.0
6.266904,-83.0,-87.0,,-79.0
6.316952,-83.0,-87.0,,-79.0
6.367000000000001,-83.0,-87.0,,-79.0
6.416856,-83.0,-87.0,,-79.0
6.466904,-83.0,-87.0,,-79.0
6.516952,-83.0,-87.0,,-79.0
6.567,-83.0,-87.0,,-79.0
6.616855999999999,-85.0,-90.0,,-81.0
6.666904,-85.0,-90.0,,-81.0
6.716952,-85.0,-90.0,,-81.0
6.767,-85.0,-90.0,,-81.0
6.816856,-85.0,-89.0,,-79.0
6.866903999999999,-85.0,-89.0,,-79.0
6.916952,-85.0,-89.0,,-79.0
6.9670000000000005,-85.0,-89.0,,-79.0
7.016856,-85.0,-87.0,,-78.0
7.066903999999999,-85.0,-87.0,,-78.0
7.116952,-85.0,-87.0,,-78.0
7.167000000000001,-85.0,-87.0,,-78.0
7.217855999999999,-84.0,-84.0,,-80.0
7.267904,-84.0,-84.0,,-80.0
7.317952,-84.0,-84.0,,-80.0
7.367999999999999,-84.0,-84.0,,-80.0
7.417856,-86.0,-83.0,,-79.0
7.467903999999999,-86.0,-83.0,,-79.0
7.517952,-86.0,-83.0,,-79.0
7.568,-86.0,-83.0,,-79.0
7.617856,-95.0,-96.0,,-80.0
7.667903999999999,-95.0,-96.0,,-80.0
7.717952,-95.0,-96.0,,-80.0
7.768,-95.0,-96.0,,-80.0
7.817856,-91.0,-83.0,,-80.0
7.867903999999999,-91.0,-83.0,,-80.0
7.917952,-91.0,-83.0,,-80.0
7.968,-91.0,-83.0,,-80.0
8.017856,-96.0,-88.0,,-80.0
8.067903999999999,-96.0,-88.0,,-80.0
8.117952,-96.0,-88.0,,-80.0
8.168,-96.0,-88.0,,-80.0
8.217856,-94.0,-88.0,,-81.0
8.267904,-94.0,-88.0,,-81.0
8.317952,-94.0,-88.0,,-81.0
8.368,-94.0,-88.0,,-81.0
8.618856,-85.0,-95.0,,-85.0
8.668904,-85.0,-95.0,,-85.0
8.718952,-85.0,-95.0,,-85.0
8.769,-85.0,-95.0,,-85.0
8.818856,-85.0,-87.0,,-88.0
8.868903999999999,-85.0,-87.0,,-88.0
8.918952,-85.0,-87.0,,-88.0
8.969,-85.0,-87.0,,-88.0
9.018856,-93.0,-85.0,,-81.0
9.068904,-93.0,-85.0,,-81.0
9.118952,-93.0,-85.0,,-81.0
9.169,-93.0,-85.0,,-81.0
9.218856,-96.0,-102.0,,-91.0
9.268904,-96.0,-102.0,,-91.0
9.318952,-96.0,-102.0,,-91.0
9.369,-96.0,-102.0,,-91.0
9.418856,-100.0,-88.0,,-86.0
9.468904,-100.0,-88.0,,-86.0
9.518952,-100.0,-88.0,,-86.0
9.569,-100.0,-88.0,,-86.0
9.619856,-93.0,-90.0,,-91.0
9.669904,-93.0,-90.0,,-91.0
9.719952,-93.0,-90.0,,-91.0
9.77,-93.0,-90.0,,-91.0
9.819856,-94.0,-82.0,,-81.0
9.869904,-94.0,-82.0,,-81.0
9.919952,-94.0,-82.0,,-81.0
9.97,-94.0,-82.0,,-81.0
10.019856,,-81.0,,-77.0
10.069904,,-81.0,,-77.0
10.119952,,-81.0,,-77.0
10.17,,-81.0,,-77.0
10.219856,-101.0,-84.0,,-76.0
10.269904,-101.0,-84.0,,-76.0
10.319952,-101.0,-84.0,,-76.0
10.37,-101.0,-84.0,,-76.0
10.419856,-89.0,-82.0,,-74.0
10.469904,-89.0,-82.0,,-74.0
10.519952,-89.0,-82.0,,-74.0
10.57,-89.0,-82.0,,-74.0
10.620856,-89.0,-78.0,,-87.0
10.670904,-89.0,-78.0,,-87.0
10.720952,-89.0,-78.0,,-87.0
10.771,-89.0,-78.0,,-87.0
10.820856,-95.0,-85.0,,-94.0
10.870904,-95.0,-85.0,,-94.0
10.920952,-95.0,-85.0,,-94.0
10.970999999999998,-95.0,-85.0,,-94.0
11.020856,-94.0,-95.0,,-84.0
11.070904,-94.0,-95.0,,-84.0
11.120952,-94.0,-95.0,,-84.0
11.171,-94.0,-95.0,,-84.0
11.220856,-89.0,-94.0,,-80.0
11.270904,-89.0,-94.0,,-80.0
11.320952,-89.0,-94.0,,-80.0
11.371,-89.0,-94.0,,-80.0
11.420856,-90.0,-85.0,,-80.0
11.470904,-90.0,-85.0,,-80.0
11.520952,-90.0,-85.0,,-80.0
11.571,-90.0,-85.0,,-80.0
11.621856,-93.0,-87.0,,-79.0
11.671904,-93.0,-87.0,,-79.0
11.721952,-93.0,-87.0,,-79.0
11.772,-93.0,-87.0,,-79.0
11.821856,-93.0,-87.0,,-78.0
11.871904,-93.0,-87.0,,-78.0
11.921952,-93.0,-87.0,,-78.0
11.972,-93.0,-87.0,,-78.0
12.021856,-94.0,-87.0,,-79.0
12.071904,-94.0,-87.0,,-79.0
12.121952,-94.0,-87.0,,-79.0
12.172,-94.0,-87.0,,-79.0
12.221856,-93.0,-86.0,,-78.0
12.271904,-93.0,-86.0,,-78.0
12.321952,-93.0,-86.0,,-78.0
12.372,-93.0,-86.0,,-78.0
12.421856,-93.0,-86.0,,-79.0
12.471904,-93.0,-86.0,,-79.0
12.521952,-93.0,-86.0,,-79.0
12.572,-93.0,-86.0,,-79.0
12.622856,-95.0,-85.0,,-78.0
12.672904,-95.0,-85.0,,-78.0
12.722952,-95.0,-85.0,,-78.0
12.773,-95.0,-85.0,,-78.0
12.822856,-93.0,-84.0,,-79.0
12.872904,-93.0,-84.0,,-79.0
12.922952,-93.0,-84.0,,-79.0
12.973,-93.0,-84.0,,-79.0
13.022856,-93.0,-86.0,,-79.0
13.072904,-93.0,-86.0,,-79.0
13.122952,-93.0,-86.0,,-79.0
13.173,-93.0,-86.0,,-79.0
13.222856,-93.0,-85.0,,-84.0
13.272904,-93.0,-85.0,,-84.0
13.322952,-93.0,-85.0,,-84.0
13.373,-93.0,-85.0,,-84.0
13.422856,-95.0,-87.0,,-84.0
13.472904000000002,-95.0,-87.0,,-84.0
13.522951999999998,-95.0,-87.0,,-84.0
13.573,-95.0,-87.0,,-84.0
13.622856,-93.0,-85.0,,-79.0
13.672904,-93.0,-85.0,,-79.0
13.722952,-93.0,-85.0,,-79.0
13.773,-93.0,-85.0,,-79.0
13.823856,-93.0,-84.0,,-79.0
13.873904,-93.0,-84.0,,-79.0
13.923951999999998,-93.0,-84.0,,-79.0
13.974,-93.0,-84.0,,-79.0
14.023856,-93.0,-85.0,,-79.0
14.073904,-93.0,-85.0,,-79.0
14.123952,-93.0,-85.0,,-79.0
14.174,-93.0,-85.0,,-79.0
14.223856,-95.0,-84.0,,-78.0
14.273904000000002,-95.0,-84.0,,-78.0
14.323951999999998,-95.0,-84.0,,-78.0
14.374,-95.0,-84.0,,-78.0
14.423856,-96.0,-85.0,,-78.0
14.473904,-96.0,-85.0,,-78.0
14.523952,-96.0,-85.0,,-78.0
14.574000000000002,-96.0,-85.0,,-78.0
14.623856,-96.0,-86.0,,-79.0
14.673904,-96.0,-86.0,,-79.0
14.723952,-96.0,-86.0,,-79.0
14.774,-96.0,-86.0,,-79.0
14.824856,-95.0,-87.0,,-78.0
14.874904,-95.0,-87.0,,-78.0
14.924952,-95.0,-87.0,,-78.0
14.975,-95.0,-87.0,,-78.0
15.024856,-97.0,-87.0,,-79.0
15.074904,-97.0,-87.0,,-79.0
15.124952,-97.0,-87.0,,-79.0
15.175,-97.0,-87.0,,-79.0
15.224856,-96.0,-86.0,,-78.0
15.274904,-96.0,-86.0,,-78.0
15.324952,-96.0,-86.0,,-78.0
15.375,-96.0,-86.0,,-78.0
15.424856,-95.0,-88.0,,-78.0
15.474904,-95.0,-88.0,,-78.0
15.524952,-95.0,-88.0,,-78.0
15.575,-95.0,-88.0,,-78.0
15.624856,-96.0,-89.0,,-78.0
15.674904000000002,-96.0,-89.0,,-78.0
15.724951999999998,-96.0,-89.0,,-78.0
15.775,-96.0,-89.0,,-78.0
15.825856,-95.0,-88.0,,-84.0
15.875904,-95.0,-88.0,,-84.0
15.925952,-95.0,-88.0,,-84.0
15.976,-95.0,-88.0,,-84.0
16.025856,-95.0,-88.0,,-78.0
16.075904,-95.0,-88.0,,-78.0
16.125951999999998,-95.0,-88.0,,-78.0
16.176,-95.0,-88.0,,-78.0
16.225856,-96.0,-89.0,,-79.0
16.275904,-96.0,-89.0,,-79.0
16.325951999999997,-96.0,-89.0,,-79.0
16.375999999999998,-96.0,-89.0,,-79.0
16.425856,-93.0,-86.0,,-79.0
16.475904,-93.0,-86.0,,-79.0
16.525952,-93.0,-86.0,,-79.0
16.576,-93.0,-86.0,,-79.0
16.625856,-92.0,-88.0,,-79.0
16.675904,-92.0,-88.0,,-79.0
16.725952,-92.0,-88.0,,-79.0
16.776,-92.0,-88.0,,-79.0
16.826856,-92.0,-87.0,,-78.0
16.876904,-92.0,-87.0,,-78.0
16.926952,-92.0,-87.0,,-78.0
16.977,-92.0,-87.0,,-78.0
17.026856,-91.0,-86.0,,-78.0
17.076904000000003,-91.0,-86.0,,-78.0
17.126952,-91.0,-86.0,,-78.0
17.177,-91.0,-86.0,,-78.0
17.226856,-90.0,-85.0,,-79.0
17.276904000000002,-90.0,-85.0,,-79.0
17.326952,-90.0,-85.0,,-79.0
17.377,-90.0,-85.0,,-79.0
17.426856,-90.0,-84.0,,-79.0
17.476904,-90.0,-84.0,,-79.0
17.526951999999998,-90.0,-84.0,,-79.0
17.577,-90.0,-84.0,,-79.0
17.626856,-89.0,-84.0,,-79.0
17.676904,-89.0,-84.0,,-79.0
17.726952,-89.0,-84.0,,-79.0
17.777,-89.0,-84.0,,-79.0
17.827856,-90.0,-84.0,,-80.0
17.877904,-90.0,-84.0,,-80.0
17.927951999999998,-90.0,-84.0,,-80.0
17.977999999999998,-90.0,-84.0,,-80.0
18.077904,-89.0,-85.0,,-79.0
18.127952,-89.0,-85.0,,-79.0
18.178,-89.0,-85.0,,-79.0
18.227856,-88.0,-86.0,,
18.277904,-88.0,-86.0,,
18.327952,-88.0,-86.0,,
18.378,-88.0,-86.0,,
18.427856,-89.0,-86.0,,-79.0
18.477904,-89.0,-86.0,,-79.0
18.527952,-89.0,-86.0,,-79.0
18.578,-89.0,-86.0,,-79.0
18.627856,-89.0,-86.0,,-79.0
18.677904,-89.0,-86.0,,-79.0
18.727952,-89.0,-86.0,,-79.0
18.778,-89.0,-86.0,,-79.0
18.877904,-89.0,-87.0,,-79.0
18.927952,-89.0,-87.0,,-79.0
18.978,-89.0,-87.0,,-79.0
19.028856,-89.0,-86.0,,-79.0
19.078904,-89.0,-86.0,,-79.0
19.128952,-89.0,-86.0,,-79.0
19.179,-89.0,-86.0,,-79.0
19.228856,-89.0,-86.0,,-79.0
19.278904,-89.0,-86.0,,-79.0
19.328952,-89.0,-86.0,,-79.0
19.379,-89.0,-86.0,,-79.0
19.428856,-89.0,-86.0,,-79.0
19.478904,-89.0,-86.0,,-79.0
19.528952,-89.0,-86.0,,-79.0
19.579,-89.0,-86.0,,-79.0
19.628856,-89.0,-87.0,,-85.0
19.678904,-89.0,-87.0,,-85.0
19.728952,-89.0,-87.0,,-85.0
19.779,-89.0,-87.0,,-85.0
19.828856,-89.0,-84.0,,-79.0
19.878904,-89.0,-84.0,,-79.0
19.928952,-89.0,-84.0,,-79.0
19.979,-89.0,-84.0,,-79.0
20.029856,-89.0,-84.0,,-79.0
20.079904,-89.0,-84.0,,-79.0
20.129952,-89.0,-84.0,,-79.0
20.18,-89.0,-84.0,,-79.0
20.279904,-87.0,-84.0,,-79.0
20.329952,-87.0,-84.0,,-79.0
20.38,-87.0,-84.0,,-79.0
20.429856,-89.0,-84.0,,-79.0
20.479904,-89.0,-84.0,,-79.0
20.529952,-89.0,-84.0,,-79.0
20.58,-89.0,-84.0,,-79.0
20.629856,-89.0,-85.0,,-79.0
20.679904,-89.0,-85.0,,-79.0
20.729952,-89.0,-85.0,,-79.0
20.78,-89.0,-85.0,,-79.0
20.829856,-91.0,-86.0,,-86.0
20.879904,-91.0,-86.0,,-86.0
20.929952,-91.0,-86.0,,-86.0
20.98,-91.0,-86.0,,-86.0
21.030856,,-86.0,,-79.0
21.080904,,-86.0,,-79.0
21.130952,,-86.0,,-79.0
21.181,,-86.0,,-79.0
21.230856,,-85.0,,-79.0
21.280904,,-85.0,,-79.0
21.330952,,-85.0,,-79.0
21.381,,-85.0,,-79.0
21.430856,,-86.0,,-80.0
21.480904,,-86.0,,-80.0
21.530952,,-86.0,,-80.0
21.581,,-86.0,,-80.0
21.630856,,-86.0,,-79.0
21.680904,,-86.0,,-79.0
21.730952,,-86.0,,-79.0
21.781,,-86.0,,-79.0
21.830856,,-88.0,,-83.0
21.880904,,-88.0,,-83.0
21.930952,,-88.0,,-83.0
21.981,,-88.0,,-83.0
22.031856,,-88.0,,-80.0
22.081904,,-88.0,,-80.0
22.131952,,-88.0,,-80.0
22.182,,-88.0,,-80.0
22.231856,,-89.0,,-79.0
22.281904,,-89.0,,-79.0
22.331952,,-89.0,,-79.0
22.382,,-89.0,,-79.0
22.431856,-88.0,-87.0,,-80.0
22.481904,-88.0,-87.0,,-80.0
22.531952,-88.0,-87.0,,-80.0
22.582,-88.0,-87.0,,-80.0
22.631856,-89.0,-84.0,,-80.0
22.681904,-89.0,-84.0,,-80.0
22.731952,-89.0,-84.0,,-80.0
22.782,-89.0,-84.0,,-80.0
22.831856,,-84.0,,-81.0
22.881904,,-84.0,,-81.0
22.931952,,-84.0,,-81.0
22.982,,-84.0,,-81.0
23.032856,-88.0,-82.0,,-81.0
23.082904,-88.0,-82.0,,-81.0
23.132952,-88.0,-82.0,,-81.0
23.183000000000003,-88.0,-82.0,,-81.0
23.232856,-88.0,-81.0,,-80.0
23.282904,-88.0,-81.0,,-80.0
23.332952,-88.0,-81.0,,-80.0
23.383000000000003,-88.0,-81.0,,-80.0
23.432856,-87.0,-81.0,,-80.0
23.482904,-87.0,-81.0,,-80.0
23.532952,-87.0,-81.0,,-80.0
23.583,-87.0,-81.0,,-80.0
23.632856,-89.0,-82.0,,-80.0
23.682904,-89.0,-82.0,,-80.0
23.732952,-89.0,-82.0,,-80.0
23.783,-89.0,-82.0,,-80.0
23.832856,-89.0,-81.0,,-80.0
23.882904,-89.0,-81.0,,-80.0
23.932952,-89.0,-81.0,,-80.0
23.983,-89.0,-81.0,,-80.0
24.032856,-88.0,-82.0,,-80.0
24.082904,-88.0,-82.0,,-80.0
24.132952,-88.0,-82.0,,-80.0
24.183000000000003,-88.0,-82.0,,-80.0
24.233856,-89.0,-81.0,,-80.0
24.283904,-89.0,-81.0,,-80.0
